,mean,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,cluster
0,580.0571428571428,21.850064033100182,11.927888877943058,22.084031129937937,36.06639739927101,8.071618559747808,10
1,296.66999999999996,63.53861192570871,36.46138807429129,0.0,0.0,0.0,3
2,1457.55,31.961853795753147,5.442008850468253,14.76587424102089,23.244485609413058,24.585777503344655,4
3,294.40000000000003,55.02717391304347,13.281249999999996,31.691576086956523,0.0,0.0,3
4,197.96285714285713,32.095486887872184,2.23707188938762,9.56384314517875,30.810253005614324,25.293345071947115,2
5,89.0,13.03370786516854,0.0,19.887640449438205,44.7191011235955,22.35955056179775,1
6,1079.4,31.176579581248838,14.950898647396702,10.825458588104503,26.811191402631085,16.23587178061886,4
7,459.4,53.28689595124075,0.0,11.558554636482372,35.154549412276886,0.0,3
8,829.1433333333334,31.717475466646288,15.990399729841641,14.227536051265762,23.162460853169733,14.902127899076554,10
9,6207.669999999996,18.475531076877484,5.089832416993821,14.684736785299485,36.560899661225584,25.189000059603707,6
10,464.03,7.990862659741828,0.0,1.9072042755856304,1.616274809818331,88.48565825485423,0
11,1593.145,10.224116448910804,2.4536373023171154,11.266708303387325,53.0366036989728,23.01893424641197,4
12,767.3533333333334,22.58064516129032,13.273329105236181,30.050476529716867,30.639948567804492,3.455600635952147,2
13,174.89999999999998,79.75986277873072,0.0,20.240137221269304,0.0,0.0,3
14,473.72300000000007,30.02809658809051,5.904294281679379,23.87872237573434,29.585643931158074,10.603242823337688,2
15,276.0,37.5,17.934782608695652,30.543478260869573,5.380434782608696,8.641304347826088,2
16,381.0999999999999,37.72238257675152,50.08484212367708,4.38642526021167,4.946208344266599,2.8601416950931524,7
17,320.69,45.90102591287537,1.571611213321276,33.11609342355546,19.411269450247904,0.0,3
18,150.9,46.52087475149104,29.025844930417495,17.892644135188863,6.560636182902585,0.0,3
19,826.1825000000001,29.370931967210634,11.864811951354573,25.884111561307577,23.96413625318861,8.916008266938597,10
20,1527.9600000000003,16.708552579910467,3.306369276682635,33.58333987800727,39.06188643681771,7.339851828581898,4
21,398.68,50.54178790007023,12.059797331192936,21.495936590749476,9.25554329286646,6.646934885120899,3
22,324.6,26.432532347504615,15.711645101663585,52.40295748613679,5.452865064695009,0.0,9
23,622.93,28.072175043744878,12.675581526014163,28.36594801984172,22.602860674554123,8.28343473584512,2
24,188.75000000000003,0.0,6.7549668874172175,71.62913907284768,13.192052980132448,8.423841059602648,9
25,774.0599999999998,29.08689248895435,12.913727618014113,20.405394930625537,30.598403224556247,6.995581737849781,4
26,3948.1400000000017,30.446235442512155,13.779146636137515,22.571641329841384,20.367818770357683,12.835157821151219,6
27,388.62,35.76758787504504,10.665946168493646,30.742113118213165,13.020431269620708,9.80392156862745,2
28,606.9525,21.570880752612435,5.285421841083116,38.02480424744935,26.95103817844065,8.167854980414448,2
29,491.6033333333333,24.89812247001308,11.758802828838968,26.548504553128883,21.83671116957439,14.957858978444683,2
30,315.344,34.06311837231722,26.785986097721853,9.4563397432645,19.88621949363235,9.80833629306408,2
31,212.635,9.5233616290827,1.5613610177063983,22.075387400945285,28.511298704352527,38.32859124791309,0
32,200.95000000000002,43.44364269718835,27.668574272207014,4.404080617068923,0.0,24.483702413535706,3
33,463.4433333333334,18.62147835405982,14.406651658239412,25.55328591053922,30.66753936115886,10.751044716002674,2
34,504.84,21.036367958164963,22.98550035654861,12.00380318516758,32.168607875762625,11.805720624356232,2
35,460.88999999999993,31.93820651348479,9.342793291240863,24.296469873505607,29.68170279242337,4.740827529345397,2
36,395.65000000000003,49.431315556678875,2.9571591052698087,18.254770630607858,28.4184253759636,0.9383293314798433,3
37,314.96000000000004,37.06502413004826,8.483616967233933,2.8098806197612394,48.48234696469392,3.159131318262636,1
